SMILES,%F,SOURCE
CC[C@@H]1C[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C[C@H](C)[N+]12CCCC2,10.0,Hou
c1ccc(C2CN3CCSC3=N2)cc1,65.0,Kim
NS(=O)(=O)c1cc(-c2nnn[nH]2)c(NCc2cccs2)cc1Cl,10.0,Hou
O=NN(CCCl)C(=O)NCCCl,11.5,Hou
NS(=O)(=O)c1cc([C@]2(O)NC(=O)c3ccccc32)ccc1Cl,64.0,chembl25
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,99.5,Hou
C[C@H]1CCC[C@@H](C)N1CCC[C@](O)(c1ccccc1)c1ccccn1,83.0,Hou
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,90.0,Hou
CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,97.0,Hou
COc1ccc(C(=O)Nc2ccccc2CC[C@@H]2CCCCN2C)cc1,27.0,Hou
CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,91.0,Hou
CCN1C[C@H](CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,61.0,chembl25
Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@@H](O)CC1,77.0,Hou
NS(=O)(=O)c1cc2c(cc1Cl)N[C@@H](CN1CCCC1)NS2(=O)=O,100.0,Hou
CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,0.0,Hou
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,44.0,chembl25
COc1cc([C@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@](C)(c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1O,41.0,Hou
CC(=O)OC[C@H]1O[C@@H](S)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,20.0,Hou
NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,71.0,Kim
Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21,32.0,Hou
C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,85.0,chembl25
OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,3.0,Kim
CCOc1ccc(C=C2NCCc3cc(OCC)c(OCC)cc32)cc1OCC,58.0,Kim
Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,25.0,Hou
CN(C)C(=N)NC(=N)N,52.0,Hou
CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC#N,94.0,Kim
CC(C)[C@@H](N)C(=O)OC[C@@H](CO)OCn1cnc2c(=O)nc(N)[nH]c21,61.0,Hou
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,90.0,Kim
NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1,17.0,Kim
CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,27.0,Hou
NC(=O)[C@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,2.0,Hou
OCC1OC(O)C(O)C(O)C1O,99.0,Kim
COCC1=C(C(=O)O[C@H](C)OC(=O)OC(C)C)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,50.0,Hou
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2c(=O)nnn2CC)CC1,1.0,Hou
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,100.0,Hou
CCOC(=O)Nc1c[n+](N2CCOCC2)no1,48.0,Hou
C=CCc1ccccc1OC[C@@H](O)CNC(C)C,8.0,Hou
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,54.0,chembl25
NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,87.0,Kim
CNS(=O)(=O)CCc1ccc2[nH]c(C3CCN(C)CC3)cc2c1,69.0,Hou
CN1C(=O)CCC1c1cccnc1,97.0,Kim
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,64.0,Kim
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,20.0,Hou
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,99.0,Kim
C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,17.0,Kim
CC(C)(C)NCC(O)COc1cccc2c1SCCC2,60.0,Kim
NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,42.0,Kim
CC(N)C(O)c1ccccc1,95.0,Kim
c1ccc(C2(c3ccccc3)C[C@H]2C2=NCCN2)cc1,86.0,Hou
C[C@@H](C(=O)O)c1cccc(Oc2ccccc2)c1,80.0,Hou
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,96.0,Hou
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,10.0,Kim
O=C1c2cccc3c2C(CCC3)CN1C1CN2CCC1CC2,97.0,Kim
Cc1scc2c1N(C(=O)CN1CCN(C)CC1)c1ccccc1NC2=O,54.0,Hou
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,10.0,Hou
CC(C)NCC(O)COc1cccc2ccccc12,26.0,Kim
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,70.0,Hou
CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C[C@@H]1CN,71.0,chembl25
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,30.0,Kim
CC[C@]1(CCC(C)C)C(=O)N=C(O)N=C1O,95.0,Hou
Cc1ccccc1C(OCCN(C)C)c1ccccc1,90.0,Kim
CC(=O)C[C@@H](c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,60.0,Hou
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,97.0,Hou
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,100.0,Hou
CN[C@@H]1[C@H](O[C@H]2[C@@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,1.0,Hou
Cc1cccc(OC[C@@H](O)CNC(C)C)c1,90.0,Hou
CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,88.0,Hou
O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,3.0,Hou
C[C@@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,97.5,chembl25
CC(C)(S)[C@H](N)C(=O)O,50.0,Hou
CCOC(=O)[C@H](C)C[C@@H](C)C(=O)N1c2ccccc2C[C@H]1C(=O)O,58.0,Hou
Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,57.5,Kim
NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1,90.0,Kim
CN(C)CCOc1ccc(C(=C(CCCl)c2ccccc2)c2ccccc2)cc1,99.0,Kim
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,49.0,chembl25
CC(C)CC[C@@H](O)COc1ccc(OCCOCC2CC2)cc1,100.0,Hou
CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,75.0,Kim
NC(N)=N/C(N)=N/CCc1ccccc1,55.0,Hou
CSc1ccc2c(c1)N(CC[C@@H]1CCCCN1C)c1ccccc1S2,40.0,Hou
CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)O)CC1)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1,62.0,Kim
CS(=CC1OC(n2cnc3c(N)ncnc32)C(O)C1O)CCC(N)C(=O)O,5.0,Kim
OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,50.0,Kim
CC(C)/N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,57.0,Hou
Cc1cccc(C)c1NC(=O)C1CCCCN1C,55.0,Hou
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,23.0,Kim
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,1.0,Hou
